id	title	authors	categories	year	update_date	score	abs_url	pdf_url	abstract
2306.02184	Polynomial Identity Testing and the Ideal Proof System: PIT is in NP if   and only if IPS can be p-simulated by a Cook-Reckhow proof system	Joshua A. Grochow	cs.CC cs.LO	2023	2023-06-06	11	https://arxiv.org/abs/2306.02184	https://arxiv.org/pdf/2306.02184.pdf	The Ideal Proof System (IPS) of Grochow & Pitassi (FOCS 2014, J. ACM, 2018) is an algebraic proof system that uses algebraic circuits to refute the solvability of unsatisfiable systems of polynomial equations. One potential drawback of IPS is that verifying an IPS proof is only known to be doable using Polynomial Id...
2511.14038	New Algebrization Barriers to Circuit Lower Bounds via Communication Complexity of Missing-String	Lijie Chen, Yang Hu, and Hanlin Ren	cs.CC	2025	2025-11-19	10	https://arxiv.org/abs/2511.14038	https://arxiv.org/pdf/2511.14038.pdf	The *algebrization barrier*, proposed by Aaronson and Wigderson (STOC '08, ToCT '09), captures the limitations of many complexity-theoretic techniques based on arithmetization. Notably, several circuit lower bounds that overcome the relativization barrier (Buhrman--Fortnow--Thierauf, CCC '98; Vinodchandran, TCS '05;...
1606.05050	Proof Complexity Lower Bounds from Algebraic Circuit Complexity	Michael A. Forbes, Amir Shpilka, Iddo Tzameret, Avi Wigderson	cs.CC cs.LO math.LO	2016	2016-06-17	10	https://arxiv.org/abs/1606.05050	https://arxiv.org/pdf/1606.05050.pdf	We give upper and lower bounds on the power of subsystems of the Ideal Proof System (IPS), the algebraic proof system recently proposed by Grochow and Pitassi, where the circuits comprising the proof come from various restricted algebraic circuit classes. This mimics an established research direction in the boolean...
1404.3820	Circuit complexity, proof complexity, and polynomial identity testing	Joshua A. Grochow and Toniann Pitassi	cs.CC cs.LO math.LO	2014	2014-04-16	10	https://arxiv.org/abs/1404.3820	https://arxiv.org/pdf/1404.3820.pdf	We introduce a new algebraic proof system, which has tight connections to (algebraic) circuit complexity. In particular, we show that any super-polynomial lower bound on any Boolean tautology in our proof system implies that the permanent does not have polynomial-size algebraic circuits (VNP is not equal to VP). As...
1607.00443	Algebraic Proof Complexity: Progress, Frontiers and Challenges	Tonnian Pitassi, Iddo Tzameret	cs.CC cs.LO math.LO	2016	2016-07-05	9	https://arxiv.org/abs/1607.00443	https://arxiv.org/pdf/1607.00443.pdf	We survey recent progress in the proof complexity of strong proof systems and its connection to algebraic circuit complexity, showing how the synergy between the two gives rise to new approaches to fundamental open questions, solutions to old problems, and new directions of research. In particular, we focus on tight...
2507.09515	IPS Lower Bounds for Formulas and Sum of ROABPs	Prerona Chatterjee, Utsab Ghosal, Partha Mukhopadhyay, Amit Sinhababu	cs.CC	2025	2025-10-07	8	https://arxiv.org/abs/2507.09515	https://arxiv.org/pdf/2507.09515.pdf	We give new lower bounds for the fragments of the Ideal Proof System (IPS) introduced by Grochow and Pitassi (JACM 2018). The Ideal Proof System is a central topic in algebraic proof complexity developed in the context of Nullstellensatz refutation (Beame, Impagliazzo, Krajicek, Pitassi, Pudlak, FOCS 1994) and simul...
2312.08163	Towards P$\ne$NP from Extended Frege lower bounds	Jan Pich, Rahul Santhanam	math.LO	2023	2023-12-14	8	https://arxiv.org/abs/2312.08163	https://arxiv.org/pdf/2312.08163.pdf	We prove that if conditions I-II (below) hold and there is a sequence of Boolean functions $f_n$ hard to approximate by p-size circuits such that p-size circuit lower bounds for $f_n$ do not have p-size proofs in Extended Frege system EF, then $P\ne NP$.   I. $S^1_2$ proves that a concrete function in ${\sf E}$ is h...
1912.03013	The canonical pairs of bounded depth Frege systems	Pavel Pudlak	math.LO cs.CC	2019	2019-12-09	8	https://arxiv.org/abs/1912.03013	https://arxiv.org/pdf/1912.03013.pdf	The canonical pair of a proof system $P$ is the pair of disjoint NP sets where one set is the set of all satisfiable CNF formulas and the other is the set of CNF formulas that have $P$-proofs bounded by some polynomial. We give a combinatorial characterization of the canonical pairs of depth~$d$ Frege systems. Our c...
1911.06738	Semi-Algebraic Proofs, IPS Lower Bounds and the $\tau$-Conjecture: Can a   Natural Number be Negative?	"Yaroslav Alekseev and Dima Grigoriev and Edward A. Hirsch and Iddo
  Tzameret"	cs.CC	2019	2019-11-18	8	https://arxiv.org/abs/1911.06738	https://arxiv.org/pdf/1911.06738.pdf	We introduce the binary value principle which is a simple subset-sum instance expressing that a natural number written in binary cannot be negative, relating it to central problems in proof and algebraic complexity. We prove conditional superpolynomial lower bounds on the Ideal Proof System (IPS) refutation size of...
2509.16824	AC^0[p]-Frege Cannot Efficiently Prove that Constant-Depth Algebraic Circuit Lower Bounds are Hard	Jiaqi Lu and Rahul Santhanam and Iddo Tzameret	cs.CC	2025	2025-09-23	7	https://arxiv.org/abs/2509.16824	https://arxiv.org/pdf/2509.16824.pdf	We study whether lower bounds against constant-depth algebraic circuits computing the Permanent over finite fields (Limaye-Srinivasan-Tavenas, J. ACM 2025; Forbes, CCC 2024) are hard to prove in certain proof systems. We focus on a DNF formula that expresses that such lower bounds are hard for constant-depth algebra...
